Date,indexes,returns,SVAR,treasury_yields,gov_bond_yields,infl
2011-07,358.82,0.06572811785321808,0.006218964573427933,0.073993,0.06,0.024547802784843142
2011-08,339.92,-0.05267264923917278,0.0018486250339693816,0.028395800000000002,0.06,0.010718789883627178
2011-09,331.4,-0.025064721110849723,0.0014475148286884649,0.020265750000000003,0.06,0.009981284686738867
2011-10,330.21,-0.003590826795413391,0.00023670603179676194,0.014168500000000002,0.06,0.010500309298466126
2011-11,323.97,-0.018897065503770183,0.0034120341261756728,0.0086938,0.06,-0.0012224943164572677
2011-12,316.0,-0.024601043306479078,0.00046872031491142576,0.007232499999999999,0.06,-0.0024479799986878437
2012-01,315.95,-0.0001582278481013018,0.0008690539991680836,0.0067888,0.06,0.006134968916631678
2012-02,315.12,-0.002626997942712404,0.00014120592320752197,0.00695775,0.06,-0.0012195113507603716
2012-03,298.89,-0.051504188880426564,0.0009024894586471761,0.01186825,0.06,0.0018315018361694246
2012-04,404.73,0.35411020776874447,0.016715767054593954,0.009023999999999999,0.06,0.01157830551649286
2012-05,373.55,-0.07703901366342995,0.030737949227136727,0.0091968,0.06,0.012048193225572268
2012-06,377.47,0.01049390978450011,0.00581676209831835,0.01545175,0.06,0.013095237713629304
2012-07,400.99,0.062309587516888705,0.0021978167475050943,0.0034326,0.06,0.03877790845409135
2012-08,405.82,0.012045188159305678,0.0011050704537997735,0.00124925,0.06,0.014140271138630256
2012-09,415.01,0.02264550786062786,0.0009401184567065324,0.00209425,0.06,0.0011641443538998875
2012-10,451.43,0.08775692151996342,0.0013716157515759062,0.005102666666666668,0.06,-0.0011627906976743319
2012-11,488.98,0.08318011651861863,0.002745718326995492,0.006871,0.06,-0.008149010477299212
2012-12,534.13,0.0923350648288273,0.00295749209945782,0.0104355,0.06,-0.011737089201877882
2013-01,510.88,-0.04352872896111434,0.001578366976313036,0.018046799999999998,0.06,-0.001187648456057122
2013-02,542.44,0.06177575947384916,0.0047800055337205265,0.0318725,0.06,0.00832342449464929
2013-03,511.45,-0.057130742570607004,0.0014230850354962751,0.03412675,0.06,0.002358490566037874
2013-04,500.76,-0.020901358881611102,0.0010296265495902544,0.042927599999999996,0.06,0.0023529411764706687
2013-05,500.15,-0.001218148414410124,0.0014506595136374338,0.037218,0.06,0.011737089201877993
2013-06,493.13,-0.014035789263220999,0.0003647941196942472,0.014202,0.06,-0.0011600928074246841
2013-07,547.61,0.11047796727029388,0.0024138227636859863,0.006667799999999999,0.06,0.020905923344947785
2013-08,551.37,0.006866200398093517,0.0004455884022246234,0.00163625,0.06,0.05460750853242313
2013-09,542.0,-0.016994033044960742,0.00055596747172739,0.00087825,0.06,0.0010787486515642097
2013-10,579.41,0.06902214022140216,0.0011355704441814787,0.00044940000000000003,0.06,0.004310344827586299
2013-11,643.95,0.11138917174367043,0.005143906675583359,0.00018075,0.06,0.005364806866952732
2013-12,770.85,0.19706498951781964,0.009834575994179924,0.0032229999999999997,0.06,-0.009605122732123883
2014-01,781.43,0.013725108646299444,0.0014099659026496003,0.00338075,0.06,-0.006465517241379226
2014-02,825.7,0.05665254725311301,0.0014226421178939548,0.001034,0.06,0.0
2014-03,792.19,-0.04058374712365265,0.0022654194910840014,0.00046649999999999996,0.06,0.00433839479392617
2014-04,823.24,0.039195142579431644,0.0007471638840077522,0.0004992,0.06,0.0075593952483801186
2014-05,866.57,0.05263349691463005,0.0013609221978052297,0.000911,0.06,0.013933547695605508
2014-06,943.18,0.0884060145170037,0.0016904121142776202,0.00047224999999999996,0.06,-0.004228329809725095
2014-07,1066.09,0.13031446807608302,0.002697180473865017,0.0001322,0.06,0.00849256900212314
2014-08,952.6,-0.10645442692455599,0.006205779042188277,0.006828999999999999,0.06,0.04842105263157892
2014-09,937.99,-0.01533697249632586,0.007592286443487564,0.0034758,0.06,0.003012048192771122
2014-10,930.21,-0.008294331496071358,0.0005428503800598009,0.008233999999999998,0.06,0.0030030030030030463
2014-11,856.88,-0.07883166166779548,0.002108591191492151,0.00236825,0.06,0.001996007984031989
2014-12,902.33,0.05304126598823645,0.003589918696811823,0.0006098,0.06,-0.009960159362549792
2015-01,986.66,0.09345804749925185,0.002006972175164311,0.0027909999999999996,0.06,-0.008048289738430747
2015-02,979.27,-0.007489915472401827,0.00037195624961377084,0.008094249999999999,,0.0010141987829614951
2015-03,945.74,-0.03423979086462362,0.0006752986993457742,0.0058032000000000005,,0.003039513677811412
