S.N,Date,Open,High,Low,Close,Absolute,Percentage,Volume,Trunover
2945,2007-03-07,476.07,476.07,476.07,476.07,-9.91,2.082%,476,nan
2946,2007-03-06,485.98,485.98,485.98,485.98,-12.28,2.527%,486,nan
2947,2007-03-05,498.26,498.26,498.26,498.26,-7.11,1.427%,498,nan
2948,2007-03-04,505.37,505.37,505.37,505.37,-3.52,0.697%,505,nan
2949,2007-03-01,508.89,508.89,508.89,508.89,-2.92,0.574%,509,nan
2950,2007-02-28,511.81,511.81,511.81,511.81,-0.04,0.008%,512,nan
2951,2007-02-27,511.85,511.85,511.85,511.85,-2.81,0.549%,512,nan
2952,2007-02-26,514.66,514.66,514.66,514.66,-3.13,0.608%,515,nan
2953,2007-02-25,517.79,517.79,517.79,517.79,-1.28,0.247%,518,nan
2954,2007-02-22,519.07,519.07,519.07,519.07,-1.39,0.268%,519,nan
2955,2007-02-21,520.46,520.46,520.46,520.46,-2.74,0.526%,520,nan
2956,2007-02-20,523.20,523.20,523.20,523.20,-2.49,0.476%,523,nan
2957,2007-02-18,525.69,525.69,525.69,525.69,-1.28,0.243%,526,nan
2958,2007-02-15,526.97,526.97,526.97,526.97,1.11,0.211%,527,nan
2959,2007-02-14,525.86,525.86,525.86,525.86,0.78,0.148%,526,nan
2960,2007-02-13,525.08,525.08,525.08,525.08,1.14,0.217%,525,nan
2961,2007-02-12,523.94,523.94,523.94,523.94,-0.85,0.162%,524,nan
2962,2007-02-11,524.79,524.79,524.79,524.79,1.68,0.32%,525,nan
